Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
28,"Occupied, Dax Toy",Occupied,Dax Toy,18358,520072,Warm Up Duration,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,18358,704574,Total Trial Length,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,546520,39591,Demonstration Duration,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,586111,14808,First Response Window,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,588619,0,First Action,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,588619,0,Head Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,595185,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,597176,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,600906,12480,Engagement,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,600914,68583,Exploration Duration,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,603004,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,608547,3537,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,608562,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,615021,6039,Engagement,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,616234,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,616289,1701,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,621427,19586,Engagement,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,623562,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,623562,1669,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,626660,0,Head Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,626666,2135,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,635007,1001,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,635021,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,636275,1769,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,636300,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,645952,23556,Engagement,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,646234,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,646252,584,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,663324,0,Hand Touch,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,663369,934,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,665071,867,IBA,(null)
28,"Occupied, Dax Toy",Occupied,Dax Toy,665120,0,Hand Touch,(null)